produto,valor,data_venda,status,comissao
Asus ROG Zephyrus,12000.00,2023-10-20,Confirmado,1200.00
Asus TUF Gaming Monitor,1800.00,2023-10-20,Enviado,180.00
Asus Placa Asus Prime,1200.00,2023-10-20,Processando,120.00
Asus Roteador WiFi 6,900.00,2023-10-20,Confirmado,90.00
Asus ZenBook Duo,11000.00,2023-10-20,Entregue,1100.00
Asus ROG Phone 7,6000.00,2023-10-20,Confirmado,600.00
Asus Teclado ROG Strix,850.00,2023-10-20,Pendente,85.00
Asus Mouse ROG Gladius,450.00,2023-10-20,Confirmado,45.00
Asus Headset Delta,950.00,2023-10-20,Enviado,95.00
Asus Webcam C3,300.00,2023-10-20,Entregue,30.00
Acer Predator Helios,9000.00,2023-10-21,Confirmado,900.00
Acer Swift 5,5500.00,2023-10-21,Enviado,550.00
Acer Monitor Nitro,1500.00,2023-10-21,Confirmado,150.00
Acer Aspire 5,3500.00,2023-10-21,Processando,350.00
Acer Chromebook Spin,2500.00,2023-10-21,Entregue,250.00
Acer Projector X,3000.00,2023-10-21,Confirmado,300.00
Acer Mouse Predator,350.00,2023-10-21,Pendente,35.00
Acer Headset Galea,450.00,2023-10-21,Confirmado,45.00
Acer Mochila Predator,400.00,2023-10-21,Enviado,40.00
Acer Teclado Aethon,500.00,2023-10-21,Entregue,50.00
HP Spectre x360,9500.00,2023-10-22,Confirmado,950.00
HP Omen 16,8500.00,2023-10-22,Enviado,850.00
HP Impressora Tank,1200.00,2023-10-22,Confirmado,120.00
HP Monitor 27f,1100.00,2023-10-22,Processando,110.00
HP Mouse Wireless,120.00,2023-10-22,Entregue,12.00
HP Teclado 970,450.00,2023-10-22,Confirmado,45.00
HP Dragonfly Pro,10000.00,2023-10-22,Pendente,1000.00
HP Cartucho 664,80.00,2023-10-22,Confirmado,8.00
HP Webcam w300,250.00,2023-10-22,Enviado,25.00
HP Omen Headset,600.00,2023-10-22,Entregue,60.00
Sony WH-1000XM5,2200.00,2023-10-23,Confirmado,220.00
Sony PlayStation 5,4500.00,2023-10-23,Enviado,450.00
Sony TV Bravia XR,6000.00,2023-10-23,Confirmado,600.00
Sony Camera Alpha 7,12000.00,2023-10-23,Processando,1200.00
Sony Lente G Master,8000.00,2023-10-23,Entregue,800.00
Sony DualSense Edge,1200.00,2023-10-23,Confirmado,120.00
Sony Xperia 1 V,7000.00,2023-10-23,Pendente,700.00
Sony Soundbar HT,3500.00,2023-10-23,Confirmado,350.00
Sony Memory Card,300.00,2023-10-23,Enviado,30.00
Sony LinkBuds S,900.00,2023-10-23,Entregue,90.00
LG OLED Evo C3,7000.00,2023-10-24,Confirmado,700.00
LG Monitor UltraGear,2500.00,2023-10-24,Enviado,250.00
LG Gram 17,9000.00,2023-10-24,Confirmado,900.00
LG Geladeira Smart,15000.00,2023-10-24,Processando,1500.00
LG Soundbar SC9,2200.00,2023-10-24,Entregue,220.00
LG Xboom Go,500.00,2023-10-24,Confirmado,50.00
LG Ar Condicionado,3500.00,2023-10-24,Pendente,350.00
LG Projetor CineBeam,4000.00,2023-10-24,Confirmado,400.00
LG Monitor Ergo,3000.00,2023-10-24,Enviado,300.00
LG Fone Tone Free,600.00,2023-10-24,Entregue,60.00
